#;approach;queueing delay;slice
200;Gómez et al.;null;QoS 1
201;Gómez et al.;3401.602;QoS 1
202;Gómez et al.;3755.442;QoS 1
203;Gómez et al.;4141.68;QoS 1
204;Gómez et al.;4141.68;QoS 1
205;Gómez et al.;4287.244;QoS 1
206;Gómez et al.;4222.346;QoS 1
207;Gómez et al.;3034.378;QoS 1
208;Gómez et al.;1801.9479999999999;QoS 1
209;Gómez et al.;1628.377;QoS 1
210;Gómez et al.;2280.324;QoS 1
211;Gómez et al.;2760.393;QoS 1
212;Gómez et al.;2311.338;QoS 1
213;Gómez et al.;2311.338;QoS 1
214;Gómez et al.;1590.4740000000002;QoS 1
215;Gómez et al.;1447.842;QoS 1
216;Gómez et al.;1423.51;QoS 1
217;Gómez et al.;1431.5059999999999;QoS 1
218;Gómez et al.;1428.2730000000001;QoS 1
219;Gómez et al.;1430.199;QoS 1
220;Gómez et al.;1422.818;QoS 1
221;Gómez et al.;1422.818;QoS 1
222;Gómez et al.;1419.966;QoS 1
223;Gómez et al.;1420.9769999999999;QoS 1
224;Gómez et al.;1420.9769999999999;QoS 1
225;Gómez et al.;1434.931;QoS 1
226;Gómez et al.;1431.451;QoS 1
227;Gómez et al.;1420.883;QoS 1
228;Gómez et al.;1424.228;QoS 1
229;Gómez et al.;1424.228;QoS 1
230;Gómez et al.;1959.719;QoS 1
231;Gómez et al.;2845.852;QoS 1
232;Gómez et al.;3956.876;QoS 1
233;Gómez et al.;1954.384;QoS 1
234;Gómez et al.;1954.384;QoS 1
235;Gómez et al.;1712.463;QoS 1
236;Gómez et al.;1647.826;QoS 1
237;Gómez et al.;1569.998;QoS 1
238;Gómez et al.;1582.359;QoS 1
239;Gómez et al.;1582.353;QoS 1
240;Gómez et al.;1586.268;QoS 1
241;Gómez et al.;1617.6599999999999;QoS 1
242;Gómez et al.;1582.4769999999999;QoS 1
243;Gómez et al.;1574.417;QoS 1
244;Gómez et al.;1564.35;QoS 1
245;Gómez et al.;1607.3400000000001;QoS 1
246;Gómez et al.;1535.7060000000001;QoS 1
247;Gómez et al.;1535.7060000000001;QoS 1
248;Gómez et al.;1532.72;QoS 1
249;Gómez et al.;1558.066;QoS 1
250;Gómez et al.;2291.475;QoS 1
251;Gómez et al.;3279.887;QoS 1
252;Gómez et al.;3531.805;QoS 1
253;Gómez et al.;1455.391;QoS 1
254;Gómez et al.;1156.912;QoS 1
255;Gómez et al.;1182.02;QoS 1
256;Gómez et al.;1161.667;QoS 1
257;Gómez et al.;1165.067;QoS 1
258;Gómez et al.;1299.295;QoS 1
259;Gómez et al.;1877.37;QoS 1
260;Gómez et al.;2557.184;QoS 1
261;Gómez et al.;3038.01;QoS 1
262;Gómez et al.;3058.156;QoS 1
263;Gómez et al.;3081.996;QoS 1
264;Gómez et al.;3448.976;QoS 1
265;Gómez et al.;3717.118;QoS 1
266;Gómez et al.;2287.891;QoS 1
267;Gómez et al.;2287.891;QoS 1
268;Gómez et al.;1228.386;QoS 1
269;Gómez et al.;1253.434;QoS 1
270;Gómez et al.;2044.163;QoS 1
271;Gómez et al.;2538.792;QoS 1
272;Gómez et al.;3218.337;QoS 1
273;Gómez et al.;4180.455;QoS 1
274;Gómez et al.;5026.218;QoS 1
275;Gómez et al.;5888.574;QoS 1
276;Gómez et al.;6322.13;QoS 1
277;Gómez et al.;6417.909;QoS 1
278;Gómez et al.;3816.172;QoS 1
279;Gómez et al.;1433.263;QoS 1
280;Gómez et al.;1449.721;QoS 1
281;Gómez et al.;1508.222;QoS 1
282;Gómez et al.;1510.932;QoS 1
283;Gómez et al.;1511.472;QoS 1
284;Gómez et al.;1484.95;QoS 1
285;Gómez et al.;1689.646;QoS 1
286;Gómez et al.;2502.202;QoS 1
287;Gómez et al.;3228.907;QoS 1
288;Gómez et al.;3982.099;QoS 1
289;Gómez et al.;null;QoS 1
290;Gómez et al.;null;QoS 1
291;Gómez et al.;6817.824;QoS 1
292;Gómez et al.;7755.369;QoS 1
293;Gómez et al.;5937.147;QoS 1
294;Gómez et al.;1368.472;QoS 1
295;Gómez et al.;1333.655;QoS 1
296;Gómez et al.;1319.16;QoS 1
297;Gómez et al.;1314.522;QoS 1
298;Gómez et al.;1328.752;QoS 1
299;Gómez et al.;1349.814;QoS 1
300;Gómez et al.;1368.307;QoS 1
301;Gómez et al.;1375.152;QoS 1
302;Gómez et al.;1356.311;QoS 1
303;Gómez et al.;1361.8220000000001;QoS 1
304;Gómez et al.;1380.7930000000001;QoS 1
305;Gómez et al.;1403.905;QoS 1
306;Gómez et al.;1369.635;QoS 1
307;Gómez et al.;1372.7069999999999;QoS 1
308;Gómez et al.;1368.759;QoS 1
309;Gómez et al.;1374.7559999999999;QoS 1
310;Gómez et al.;2051.821;QoS 1
311;Gómez et al.;2916.348;QoS 1
312;Gómez et al.;3381.757;QoS 1
313;Gómez et al.;1296.964;QoS 1
314;Gómez et al.;1237.51;QoS 1
315;Gómez et al.;1278.365;QoS 1
316;Gómez et al.;1179.475;QoS 1
317;Gómez et al.;1158.443;QoS 1
318;Gómez et al.;1902;QoS 1
319;Gómez et al.;1902;QoS 1
320;Gómez et al.;2435.61;QoS 1
321;Gómez et al.;2816.078;QoS 1
322;Gómez et al.;2189.51;QoS 1
323;Gómez et al.;1481.017;QoS 1
324;Gómez et al.;1982.2849999999999;QoS 1
325;Gómez et al.;2550.661;QoS 1
326;Gómez et al.;2888.205;QoS 1
327;Gómez et al.;1948.512;QoS 1
328;Gómez et al.;1131.866;QoS 1
329;Gómez et al.;1142.908;QoS 1
330;Gómez et al.;2009.96;QoS 1
331;Gómez et al.;2108.011;QoS 1
332;Gómez et al.;2880.969;QoS 1
333;Gómez et al.;3190.595;QoS 1
334;Gómez et al.;3745.575;QoS 1
335;Gómez et al.;4626.11;QoS 1
336;Gómez et al.;4531.2119999999995;QoS 1
337;Gómez et al.;1100.608;QoS 1
338;Gómez et al.;1100.608;QoS 1
339;Gómez et al.;1095.539;QoS 1
340;Gómez et al.;1103.372;QoS 1
341;Gómez et al.;1094.126;QoS 1
342;Gómez et al.;1083.32;QoS 1
343;Gómez et al.;1093.708;QoS 1
344;Gómez et al.;1084.28;QoS 1
345;Gómez et al.;1064.047;QoS 1
346;Gómez et al.;1081.184;QoS 1
347;Gómez et al.;1090.03;QoS 1
348;Gómez et al.;1090.03;QoS 1
349;Gómez et al.;1105.106;QoS 1
350;Gómez et al.;1903.7350000000001;QoS 1
351;Gómez et al.;2921.3869999999997;QoS 1
352;Gómez et al.;2885.818;QoS 1
353;Gómez et al.;1037.844;QoS 1
354;Gómez et al.;1010.735;QoS 1
355;Gómez et al.;1032.307;QoS 1
356;Gómez et al.;1055.854;QoS 1
357;Gómez et al.;null;QoS 1
358;Gómez et al.;1063.705;QoS 1
359;Gómez et al.;1063.705;QoS 1
360;Gómez et al.;1094.471;QoS 1
361;Gómez et al.;1092.18;QoS 1
362;Gómez et al.;1038.757;QoS 1
363;Gómez et al.;1056.814;QoS 1
364;Gómez et al.;1064.498;QoS 1
365;Gómez et al.;1025.247;QoS 1
366;Gómez et al.;1030.047;QoS 1
367;Gómez et al.;1102.512;QoS 1
368;Gómez et al.;1071.935;QoS 1
369;Gómez et al.;1047.004;QoS 1
370;Gómez et al.;1760.3110000000001;QoS 1
371;Gómez et al.;2719.76;QoS 1
372;Gómez et al.;1864.7269999999999;QoS 1
373;Gómez et al.;934.806;QoS 1
374;Gómez et al.;923.52;QoS 1
375;Gómez et al.;906.391;QoS 1
376;Gómez et al.;869.16;QoS 1
377;Gómez et al.;879.645;QoS 1
378;Gómez et al.;1002.04;QoS 1
379;Gómez et al.;1646.751;QoS 1
380;Gómez et al.;2316.77;QoS 1
381;Gómez et al.;2575.937;QoS 1
382;Gómez et al.;1625.091;QoS 1
383;Gómez et al.;1193.2350000000001;QoS 1
384;Gómez et al.;1767.144;QoS 1
385;Gómez et al.;2301.524;QoS 1
386;Gómez et al.;2406.4030000000002;QoS 1
387;Gómez et al.;1454.19;QoS 1
388;Gómez et al.;914.001;QoS 1
389;Gómez et al.;916.294;QoS 1
390;Gómez et al.;1807.0900000000001;QoS 1
391;Gómez et al.;2023.612;QoS 1
392;Gómez et al.;1699.595;QoS 1
393;Gómez et al.;2188.349;QoS 1
394;Gómez et al.;3033.139;QoS 1
395;Gómez et al.;3880.599;QoS 1
396;Gómez et al.;4367.136;QoS 1
397;Gómez et al.;5105.722;QoS 1
398;Gómez et al.;5967.014;QoS 1
399;Gómez et al.;6706.499;QoS 1
400;Gómez et al.;6729.907;QoS 1
401;Gómez et al.;5181.23;QoS 1
402;Gómez et al.;1040.533;QoS 1
403;Gómez et al.;698.644;QoS 1
404;Gómez et al.;687.646;QoS 1
405;Gómez et al.;852.944;QoS 1
406;Gómez et al.;1928.1390000000001;QoS 1
407;Gómez et al.;3777.611;QoS 1
408;Gómez et al.;3777.611;QoS 1
409;Gómez et al.;4631.375;QoS 1
410;Gómez et al.;6041.16;QoS 1
411;Gómez et al.;4948.726;QoS 1
412;Gómez et al.;549.521;QoS 1
413;Gómez et al.;1051.407;QoS 1
414;Gómez et al.;1053.386;QoS 1
415;Gómez et al.;1013.371;QoS 1
416;Gómez et al.;1024.151;QoS 1
417;Gómez et al.;1072.893;QoS 1
418;Gómez et al.;1072.893;QoS 1
419;Gómez et al.;1054.722;QoS 1
420;Gómez et al.;1079.012;QoS 1
421;Gómez et al.;1084.686;QoS 1
422;Gómez et al.;1035.535;QoS 1
423;Gómez et al.;1052.51;QoS 1
424;Gómez et al.;1031.729;QoS 1
425;Gómez et al.;1067.055;QoS 1
426;Gómez et al.;1079.965;QoS 1
427;Gómez et al.;1059.907;QoS 1
428;Gómez et al.;1067.25;QoS 1
429;Gómez et al.;1067.722;QoS 1
430;Gómez et al.;2028.804;QoS 1
431;Gómez et al.;1814.7179999999998;QoS 1
432;Gómez et al.;727.742;QoS 1
433;Gómez et al.;750.063;QoS 1
434;Gómez et al.;739.615;QoS 1
435;Gómez et al.;737.352;QoS 1
436;Gómez et al.;785.266;QoS 1
437;Gómez et al.;791.3;QoS 1
438;Gómez et al.;919.686;QoS 1
439;Gómez et al.;1542.981;QoS 1
440;Gómez et al.;2007.73;QoS 1
441;Gómez et al.;2259.2110000000002;QoS 1
442;Gómez et al.;1270.284;QoS 1
443;Gómez et al.;960.017;QoS 1
444;Gómez et al.;1585.934;QoS 1
445;Gómez et al.;2038.437;QoS 1
446;Gómez et al.;2206.427;QoS 1
447;Gómez et al.;754.232;QoS 1
448;Gómez et al.;754.232;QoS 1
449;Gómez et al.;744.315;QoS 1
450;Gómez et al.;1574.958;QoS 1
451;Gómez et al.;1552.743;QoS 1
452;Gómez et al.;1363.445;QoS 1
453;Gómez et al.;2592.1369999999997;QoS 1
454;Gómez et al.;3512.022;QoS 1
455;Gómez et al.;4572.3099999999995;QoS 1
456;Gómez et al.;5465.787;QoS 1
457;Gómez et al.;6408.178;QoS 1
458;Gómez et al.;7411.134;QoS 1
459;Gómez et al.;8422.57;QoS 1
460;Gómez et al.;9359.077;QoS 1
461;Gómez et al.;10339.347;QoS 1
462;Gómez et al.;11345.592;QoS 1
463;Gómez et al.;7435.815;QoS 1
464;Gómez et al.;1328.215;QoS 1
465;Gómez et al.;1245.533;QoS 1
466;Gómez et al.;1245.113;QoS 1
467;Gómez et al.;1248.573;QoS 1
468;Gómez et al.;1254.794;QoS 1
469;Gómez et al.;1265.269;QoS 1
470;Gómez et al.;1864.4160000000002;QoS 1
471;Gómez et al.;2963.554;QoS 1
472;Gómez et al.;2278.023;QoS 1
473;Gómez et al.;1079.2;QoS 1
474;Gómez et al.;1333.94;QoS 1
475;Gómez et al.;1425.746;QoS 1
476;Gómez et al.;1515.134;QoS 1
477;Gómez et al.;1527.1480000000001;QoS 1
478;Gómez et al.;1479.751;QoS 1
479;Gómez et al.;1479.751;QoS 1
480;Gómez et al.;1501.579;QoS 1
481;Gómez et al.;1504.106;QoS 1
482;Gómez et al.;1621.705;QoS 1
483;Gómez et al.;1561.3809999999999;QoS 1
484;Gómez et al.;1561.3809999999999;QoS 1
485;Gómez et al.;1581.691;QoS 1
486;Gómez et al.;1587.108;QoS 1
487;Gómez et al.;1562.562;QoS 1
488;Gómez et al.;1592.229;QoS 1
489;Gómez et al.;1592.424;QoS 1
490;Gómez et al.;2487.613;QoS 1
491;Gómez et al.;2627.224;QoS 1
492;Gómez et al.;1125.077;QoS 1
493;Gómez et al.;1056.503;QoS 1
494;Gómez et al.;1040.081;QoS 1
495;Gómez et al.;1067.816;QoS 1
496;Gómez et al.;1092.544;QoS 1
497;Gómez et al.;1099.056;QoS 1
498;Gómez et al.;1212.296;QoS 1
499;Gómez et al.;1831.6019999999999;QoS 1
500;Gómez et al.;2434.573;QoS 1
501;Gómez et al.;2876.585;QoS 1
502;Gómez et al.;2582.513;QoS 1
503;Gómez et al.;2681.667;QoS 1
504;Gómez et al.;3103.736;QoS 1
505;Gómez et al.;3762.072;QoS 1
506;Gómez et al.;3782.099;QoS 1
507;Gómez et al.;1741.4470000000001;QoS 1
508;Gómez et al.;1081.149;QoS 1
509;Gómez et al.;1095.67;QoS 1
510;Gómez et al.;1972.0639999999999;QoS 1
511;Gómez et al.;2054.157;QoS 1
512;Gómez et al.;2905.188;QoS 1
513;Gómez et al.;3288.715;QoS 1
514;Gómez et al.;3833.772;QoS 1
515;Gómez et al.;4650.57;QoS 1
516;Gómez et al.;5671.658;QoS 1
517;Gómez et al.;6499.968;QoS 1
518;Gómez et al.;7306.5779999999995;QoS 1
519;Gómez et al.;8188.618;QoS 1
520;Gómez et al.;8223.038;QoS 1
521;Gómez et al.;2269.557;QoS 1
522;Gómez et al.;883.217;QoS 1
523;Gómez et al.;887.212;QoS 1
524;Gómez et al.;884.004;QoS 1
525;Gómez et al.;879.808;QoS 1
526;Gómez et al.;888.136;QoS 1
527;Gómez et al.;881.41;QoS 1
528;Gómez et al.;883.047;QoS 1
529;Gómez et al.;887.945;QoS 1
530;Gómez et al.;1750.702;QoS 1
531;Gómez et al.;1968.383;QoS 1
532;Gómez et al.;2801.29;QoS 1
533;Gómez et al.;3354.554;QoS 1
534;Gómez et al.;3787.337;QoS 1
535;Gómez et al.;4689.352;QoS 1
536;Gómez et al.;5534.747;QoS 1
537;Gómez et al.;6421.743;QoS 1
538;Gómez et al.;7160.831;QoS 1
539;Gómez et al.;8008.346;QoS 1
540;Gómez et al.;2876.4629999999997;QoS 1
541;Gómez et al.;2876.4629999999997;QoS 1
542;Gómez et al.;749.539;QoS 1
543;Gómez et al.;741.831;QoS 1
544;Gómez et al.;741.831;QoS 1
545;Gómez et al.;734.208;QoS 1
546;Gómez et al.;736.972;QoS 1
547;Gómez et al.;740.188;QoS 1
548;Gómez et al.;741.746;QoS 1
549;Gómez et al.;741.391;QoS 1
550;Gómez et al.;1442.753;QoS 1
551;Gómez et al.;2420.851;QoS 1
552;Gómez et al.;3144.526;QoS 1
553;Gómez et al.;945.632;QoS 1
554;Gómez et al.;945.632;QoS 1
555;Gómez et al.;978.771;QoS 1
556;Gómez et al.;1013.932;QoS 1
557;Gómez et al.;993.926;QoS 1
558;Gómez et al.;1147.042;QoS 1
559;Gómez et al.;2366.423;QoS 1
560;Gómez et al.;2366.423;QoS 1
561;Gómez et al.;2798.134;QoS 1
562;Gómez et al.;1894.5839999999998;QoS 1
563;Gómez et al.;1344.907;QoS 1
564;Gómez et al.;1864.78;QoS 1
565;Gómez et al.;2501.003;QoS 1
566;Gómez et al.;2782.294;QoS 1
567;Gómez et al.;1548.085;QoS 1
568;Gómez et al.;1036.267;QoS 1
569;Gómez et al.;1033.009;QoS 1
570;Gómez et al.;1957.629;QoS 1
571;Gómez et al.;1989.258;QoS 1
572;Gómez et al.;835.053;QoS 1
573;Gómez et al.;1998.441;QoS 1
574;Gómez et al.;1998.441;QoS 1
575;Gómez et al.;2257.872;QoS 1
576;Gómez et al.;1454.887;QoS 1
577;Gómez et al.;784.062;QoS 1
578;Gómez et al.;792.877;QoS 1
579;Gómez et al.;800.755;QoS 1
580;Gómez et al.;861.989;QoS 1
581;Gómez et al.;792.097;QoS 1
582;Gómez et al.;789.947;QoS 1
583;Gómez et al.;787.354;QoS 1
584;Gómez et al.;829.027;QoS 1
585;Gómez et al.;1366.868;QoS 1
586;Gómez et al.;1978.058;QoS 1
587;Gómez et al.;2161.045;QoS 1
588;Gómez et al.;1330.212;QoS 1
589;Gómez et al.;776.72;QoS 1
590;Gómez et al.;1715.4;QoS 1
591;Gómez et al.;2224.993;QoS 1
592;Gómez et al.;980.303;QoS 1
593;Gómez et al.;856.812;QoS 1
594;Gómez et al.;791.702;QoS 1
595;Gómez et al.;782.696;QoS 1
596;Gómez et al.;801.064;QoS 1
597;Gómez et al.;865.081;QoS 1
598;Gómez et al.;785.496;QoS 1
599;Gómez et al.;781.399;QoS 1
600;Gómez et al.;799.842;QoS 1
601;Gómez et al.;null;QoS 1
602;Gómez et al.;null;QoS 1
603;Gómez et al.;null;QoS 1
604;Gómez et al.;null;QoS 1
605;Gómez et al.;null;QoS 1
606;Gómez et al.;null;QoS 1
607;Gómez et al.;null;QoS 1
608;Gómez et al.;null;QoS 1
609;Gómez et al.;null;QoS 1
610;Gómez et al.;null;QoS 1
611;Gómez et al.;null;QoS 1
612;Gómez et al.;null;QoS 1
613;Gómez et al.;null;QoS 1
614;Gómez et al.;null;QoS 1
615;Gómez et al.;null;QoS 1
616;Gómez et al.;null;QoS 1
617;Gómez et al.;null;QoS 1
618;Gómez et al.;null;QoS 1
619;Gómez et al.;null;QoS 1
620;Gómez et al.;null;QoS 1
621;Gómez et al.;null;QoS 1
622;Gómez et al.;null;QoS 1
623;Gómez et al.;null;QoS 1
624;Gómez et al.;null;QoS 1
625;Gómez et al.;null;QoS 1
626;Gómez et al.;null;QoS 1
627;Gómez et al.;null;QoS 1
628;Gómez et al.;null;QoS 1
629;Gómez et al.;null;QoS 1
630;Gómez et al.;null;QoS 1
631;Gómez et al.;null;QoS 1
632;Gómez et al.;null;QoS 1
633;Gómez et al.;null;QoS 1
634;Gómez et al.;null;QoS 1
635;Gómez et al.;null;QoS 1
636;Gómez et al.;null;QoS 1
637;Gómez et al.;null;QoS 1
638;Gómez et al.;null;QoS 1
639;Gómez et al.;null;QoS 1
640;Gómez et al.;null;QoS 1
641;Gómez et al.;null;QoS 1
642;Gómez et al.;null;QoS 1
643;Gómez et al.;null;QoS 1
644;Gómez et al.;null;QoS 1
645;Gómez et al.;null;QoS 1
646;Gómez et al.;null;QoS 1
647;Gómez et al.;null;QoS 1
648;Gómez et al.;null;QoS 1
649;Gómez et al.;null;QoS 1
650;Gómez et al.;null;QoS 1
651;Gómez et al.;null;QoS 1
652;Gómez et al.;null;QoS 1
653;Gómez et al.;null;QoS 1
654;Gómez et al.;null;QoS 1
655;Gómez et al.;null;QoS 1
656;Gómez et al.;null;QoS 1
657;Gómez et al.;null;QoS 1
658;Gómez et al.;null;QoS 1
659;Gómez et al.;null;QoS 1
660;Gómez et al.;null;QoS 1
661;Gómez et al.;null;QoS 1
662;Gómez et al.;null;QoS 1
663;Gómez et al.;null;QoS 1
664;Gómez et al.;null;QoS 1
665;Gómez et al.;null;QoS 1
666;Gómez et al.;null;QoS 1
667;Gómez et al.;null;QoS 1
668;Gómez et al.;null;QoS 1
669;Gómez et al.;null;QoS 1
670;Gómez et al.;null;QoS 1
671;Gómez et al.;null;QoS 1
672;Gómez et al.;null;QoS 1
673;Gómez et al.;null;QoS 1
674;Gómez et al.;null;QoS 1
675;Gómez et al.;null;QoS 1
676;Gómez et al.;null;QoS 1
677;Gómez et al.;null;QoS 1
678;Gómez et al.;null;QoS 1
679;Gómez et al.;null;QoS 1
680;Gómez et al.;null;QoS 1
681;Gómez et al.;null;QoS 1
682;Gómez et al.;null;QoS 1
683;Gómez et al.;null;QoS 1
684;Gómez et al.;null;QoS 1
685;Gómez et al.;null;QoS 1
686;Gómez et al.;null;QoS 1
687;Gómez et al.;null;QoS 1
688;Gómez et al.;null;QoS 1
689;Gómez et al.;null;QoS 1
690;Gómez et al.;null;QoS 1
691;Gómez et al.;null;QoS 1
692;Gómez et al.;null;QoS 1
693;Gómez et al.;null;QoS 1
694;Gómez et al.;null;QoS 1
695;Gómez et al.;null;QoS 1
696;Gómez et al.;null;QoS 1
697;Gómez et al.;null;QoS 1
698;Gómez et al.;null;QoS 1
699;Gómez et al.;null;QoS 1
700;Gómez et al.;null;QoS 1
701;Gómez et al.;null;QoS 1
702;Gómez et al.;null;QoS 1
703;Gómez et al.;null;QoS 1
704;Gómez et al.;null;QoS 1
